BSSID, First_time_seen, Last_time_seen, channel, Speed, Privacy, Cipher, Authentication, Power, N_beacons, N_IV, LAN_IP, ID-length, ESSID, Key
10:50:72:00:11:08, 2023-07-28 09:24:54, 2023-07-28 10:48:11,  4, 130, WPA2, CCMP, PSK, -71,        2,        0,   0.  0.  0.  0,  14, MGTS_GPON_B563, 
14:EB:B6:6A:76:37, 2023-07-28 09:25:01, 2023-07-28 11:53:36,  3, 360, WPA2, CCMP, PSK, -85,        0,        5,   0.  0.  0.  0,  15, Gnezdo_lounge 2, 
E0:D9:E3:48:FF:D0, 2023-07-28 09:25:14, 2023-07-28 09:25:14,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E2:37:BF:8F:6A:7B, 2023-07-28 09:29:55, 2023-07-28 09:29:55, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C2:B5:D7:7F:07:A8, 2023-07-28 09:32:42, 2023-07-28 09:32:42,  6, 130, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,  27, DIRECT-a8-HP M227f LaserJet, 
E8:28:C1:DC:C6:B1, 2023-07-28 09:32:42, 2023-07-28 11:52:32,  6, 130, OPN, ,   , -78,        5,        0,   0.  0.  0.  0,   0, , 
8A:4E:75:44:5A:F6, 2023-07-28 09:33:09, 2023-07-28 09:33:09,  6, 130, WPA2, CCMP, PSK, -68,        0,        0,   0.  0.  0.  0,  11, quiksmobile, 
CE:B3:FF:84:45:FC, 2023-07-28 09:33:11, 2023-07-28 11:34:22, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
5E:C7:C0:E4:D7:D4, 2023-07-28 09:34:56, 2023-07-28 10:29:21,  1, 180, WPA2, CCMP, PSK, -49,       85,       98,   0.  0.  0.  0,   9, realme 10, 
E8:28:C1:DD:04:42, 2023-07-28 09:34:57, 2023-07-28 11:53:35, 52, 360, OPN, ,   , -81,       23,        0,   0.  0.  0.  0,   0, , 
00:03:7A:1A:18:56, 2023-07-28 09:35:54, 2023-07-28 09:35:54, -1,  -1, , ,   , -62,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:C8:31, 2023-07-28 09:36:31, 2023-07-28 11:36:30,  1, 130, OPN, ,   , -73,        8,        0,   0.  0.  0.  0,   0, , 
